date,state,"US job postings, 2020 vs. 2019, % gap in trend"
2020-02-01,ak,0
2020-02-01,az,0
2020-02-01,ca,0
2020-02-01,co,0
2020-02-01,hi,0
2020-02-01,id,0
2020-02-01,mt,0
2020-02-01,nv,0
2020-02-01,nm,0
2020-02-01,or,0
2020-02-01,ut,0
2020-02-01,wa,0
2020-02-01,wy,0
2020-02-01,al,0
2020-02-01,ar,0
2020-02-01,dc,0
2020-02-01,de,0
2020-02-01,fl,0
2020-02-01,ga,0
2020-02-01,ky,0
2020-02-01,la,0
2020-02-01,md,0
2020-02-01,ms,0
2020-02-01,nc,0
2020-02-01,ok,0
2020-02-01,sc,0
2020-02-01,tn,0
2020-02-01,tx,0
2020-02-01,va,0
2020-02-01,wv,0
2020-02-01,il,0
2020-02-01,in,0
2020-02-01,ia,0
2020-02-01,ks,0
2020-02-01,mi,0
2020-02-01,mn,0
2020-02-01,mo,0
2020-02-01,ne,0
2020-02-01,nd,0
2020-02-01,oh,0
2020-02-01,sd,0
2020-02-01,wi,0
2020-02-01,ct,0
2020-02-01,me,0
2020-02-01,ma,0
2020-02-01,nh,0
2020-02-01,nj,0
2020-02-01,ny,0
2020-02-01,pa,0
2020-02-01,ri,0
2020-02-01,vt,0
2020-02-02,ak,-0.488096423946605
2020-02-02,az,0.0399640323708539
2020-02-02,ca,-0.0799200799200817
2020-02-02,co,-0.189639684599263
2020-02-02,hi,-0.269380425022459
2020-02-02,id,-0.438028870084617
2020-02-02,mt,-0.318883906327849
2020-02-02,nv,-0.329439952081456
2020-02-02,nm,0.139986001399861
2020-02-02,or,0.120036010803237
2020-02-02,ut,-0.150000000000006
2020-02-02,wa,-0.467661691542287
2020-02-02,wy,-0.149328023892492
2020-02-02,al,0.57177249473368
2020-02-02,ar,0.319393153009284
2020-02-02,dc,-0.0798084596967286
2020-02-02,de,-0.0898921294446686
2020-02-02,fl,-0.119880119880111
2020-02-02,ga,0.300360432519042
2020-02-02,ky,0.632911392405067
2020-02-02,la,0.270189132392673
2020-02-02,md,0
2020-02-02,ms,0.309876049580149
2020-02-02,nc,0.120180270405612
2020-02-02,ok,0.621927976727865
2020-02-02,sc,0.0599520383693042
2020-02-02,tn,0.290843445993394
